ms,red,ir,ratio,adcAvg,ratioSlope,AI
982516607,42,135,0.3111,1126,-0.0031,50
982570578,35,133,0.2632,1128,-0.0025,45
982624578,39,137,0.2847,1123,-0.0022,50
982679575,37,133,0.2782,1121,-0.0021,45
982733578,40,136,0.2941,1126,-0.0019,45
982789589,39,136,0.2868,1126,-0.0016,45
982843589,40,135,0.2963,1123,-0.0016,45
982898322,41,139,0.295,1122,-0.0017,45
982952578,40,134,0.2985,1129,-0.0016,50
983006609,39,134,0.291,1126,-0.0017,45
983060609,41,135,0.3037,1126,-0.0016,50
983116609,40,133,0.3008,1125,-0.0017,50
983171609,39,135,0.2889,1129,-0.0017,45
983225609,37,132,0.2803,1123,-0.0019,40
983279608,36,131,0.2748,1121,-0.0019,40
983333608,37,132,0.2803,1123,-0.0021,40
983389608,36,131,0.2748,1123,-0.0005,40
983444575,36,131,0.2748,1117,-0.0007,40
983498608,35,132,0.2652,1118,-0.0013,35
983552387,37,132,0.2803,1124,-0.0007,40
983606589,37,135,0.2741,1120,-0.0002,35
983660589,39,133,0.2932,1118,-0.0005,35
983716609,36,130,0.2769,1120,-0.0005,40
983770608,36,133,0.2707,1121,-0.0004,35
983825608,38,133,0.2857,1120,-0.0003,40
983879608,38,132,0.2879,1122,-0.0003,40
983933608,36,132,0.2727,1124,-0.0003,40
983989412,39,134,0.291,1124,-0.0003,40
984043608,38,133,0.2857,1119,-0.0002,40
984097575,34,132,0.2576,1120,-0.0003,35
984151608,36,131,0.2748,1125,-0.0003,40
984205608,33,129,0.2558,1123,-0.0005,40
984260608,37,132,0.2803,1119,-0.0005,45
984317152,37,130,0.2846,1123,-0.0005,45
984370589,37,86,0.4302,1123,0.0008,45
984424589,40,137,0.292,1120,0.0009,45
984479354,38,132,0.2879,1118,0.001,40
984533608,37,131,0.2824,1125,0.0011,40
984587608,35,131,0.2672,1126,0.0012,40
984643608,37,132,0.2803,1119,0.0012,40
984697608,39,134,0.291,1124,0.0009,45
984751575,37,132,0.2803,1127,0.0011,40
984805734,34,135,0.2519,1122,0.0013,45
984859608,38,135,0.2815,1123,0.0012,45
984915577,39,134,0.291,1122,0.0012,40
984969608,37,136,0.2721,1128,0.0013,45
985024571,35,133,0.2632,1123,0.0013,40
985078608,38,134,0.2836,1120,0.0013,45
985133360,37,132,0.2803,1126,0.0013,40
985187589,36,134,0.2687,1127,0.0014,40
985243902,17,135,0.1259,1122,0.001,40
985297609,34,133,0.2556,1118,0.001,40
985351609,37,135,0.2741,1125,0.001,40
985406609,36,135,0.2667,1123,0.0009,35
985460609,36,134,0.2687,1121,-0.0005,40
985516413,37,130,0.2846,1126,-0.0005,45
985570609,34,131,0.2595,1124,-0.0009,45
985624611,37,133,0.2782,1122,-0.0009,45
985679609,34,132,0.2576,1118,-0.0011,45
985733609,37,134,0.2761,1121,-0.001,45
985787609,35,135,0.2593,1123,-0.0006,45
985844609,34,128,0.2656,1118,-0.0004,45
985898851,36,134,0.2687,1121,-0.0006,50
985952592,34,130,0.2615,1124,-0.0004,45
986006592,35,133,0.2632,1120,-0.0002,50
986060629,35,132,0.2652,1115,-0.0002,50
986114609,35,129,0.2713,1115,-0.0002,55
986170606,38,135,0.2815,1123,-0.0002,55
986224609,36,129,0.2791,1120,-0.0002,55
986278609,36,134,0.2687,1115,-0.0002,55
986333606,39,131,0.2977,1127,0.0002,55
986387609,35,132,0.2652,1124,0.0002,55
986443641,32,129,0.2481,1116,0.0001,55
986497579,37,81,0.4568,1118,0.0013,50
986551579,37,132,0.2803,1124,0.0014,50
986606577,36,135,0.2667,1122,0.0013,45
986660579,35,134,0.2612,1120,0.0013,45
986714579,36,137,0.2628,1121,0.0011,45
986771589,36,136,0.2647,1127,0.0012,50
986825630,40,137,0.292,1123,0.001,50
986879591,36,136,0.2647,1121,0.0009,50
986933579,37,135,0.2741,1125,0.0008,45
986987609,36,137,0.2628,1127,0.0009,45
987043413,35,135,0.2593,1120,0.0009,45
987097610,37,134,0.2761,1122,0.0008,40
987151609,36,133,0.2707,1126,0.0008,40
987205609,38,133,0.2857,1126,0.0007,35
987260609,39,135,0.2889,1124,0.0007,40
987314609,38,136,0.2794,1122,0.0007,40
987370609,34,134,0.2537,1126,0.0007,40
987424609,39,137,0.2847,1123,0.0007,40
987479154,37,132,0.2803,1126,0.0007,40
987533592,36,133,0.2707,1126,0.0008,40
987587592,33,134,0.2463,1124,-0.0006,40
987641706,36,135,0.2667,1121,-0.0007,45
987697609,34,132,0.2576,1124,-0.0008,45
987752609,34,132,0.2576,1127,-0.0008,45
987806609,37,139,0.2662,1123,-0.0008,40
987860609,36,136,0.2647,1120,-0.0008,40
987914609,35,139,0.2518,1121,-0.0002,45
987970579,35,134,0.2612,1126,-0.0002,45
988025609,38,133,0.2857,1122,-0.0003,45
988079609,40,138,0.2899,1126,-0.0006,50
988133609,37,138,0.2681,1126,-0.0006,50
988187609,38,137,0.2774,1127,-0.0007,50
988241609,39,137,0.2847,1124,-0.0007,55
988297589,37,134,0.2761,1129,-0.0007,50
988351589,38,136,0.2794,1133,-0.0007,55
988406279,37,133,0.2782,1132,-0.0007,50
988460609,39,138,0.2826,1131,-0.0006,55
988514610,39,136,0.2868,1137,-0.0006,55
988570413,37,136,0.2721,1141,-0.0007,55
988625630,39,141,0.2766,1139,-0.0006,60
988679609,37,139,0.2662,1139,-0.0005,60
988733609,38,142,0.2676,1147,-0.0005,60
988787609,36,141,0.2553,1146,-0.0005,60
988841609,39,143,0.2727,1143,-0.0004,55
988897609,40,141,0.2837,1148,-0.0001,60
988952606,36,139,0.259,1148,-0.0002,60
989006609,41,140,0.2929,1144,-0.0008,55
989060608,38,139,0.2734,1141,-0.001,55
989114591,38,138,0.2754,1144,-0.0008,55
989168591,36,139,0.259,1147,-0.0005,55
989224609,36,137,0.2628,1143,-0.0005,55
989278609,37,138,0.2681,1143,-0.0004,55
989333609,34,135,0.2519,1147,-0.0003,55
989387610,35,139,0.2518,1145,-0.0002,50
989441609,37,142,0.2606,1142,-0.0001,55
989497413,38,140,0.2714,1143,-0.0001,55
989551610,37,140,0.2643,1149,-0.0001,50
989606606,38,139,0.2734,1147,-0.0002,50
989660609,39,144,0.2708,1143,-0.0002,50
989714609,42,143,0.2937,1149,-0.0001,50
989768609,37,140,0.2643,1149,-0.0001,50
989824609,42,141,0.2979,1144,0.0002,50
989879591,37,139,0.2662,1142,0.0003,50
989933591,39,138,0.2826,1147,0.0004,50
989987611,37,140,0.2643,1144,0.0001,45
990041609,35,87,0.4023,1140,0.0022,50
990095609,36,139,0.259,1139,0.0027,55
990151609,34,135,0.2519,1148,0.0029,50
990205609,33,135,0.2444,1141,0.0033,50
990260609,38,138,0.2754,1139,0.0031,45
990314609,36,137,0.2628,1140,0.0031,45
990368609,37,139,0.2662,1145,0.0031,45
990424609,37,139,0.2662,1140,0.0031,50
990478609,35,139,0.2518,1138,0.0031,50
990533609,37,136,0.2721,1149,0.003,45
990587609,34,137,0.2482,1144,0.0031,50
990643591,39,136,0.2868,1138,0.0031,45
990697591,35,136,0.2574,1140,0.003,50
990753609,33,136,0.2426,1143,0.0029,45
990807609,35,136,0.2574,1139,0.0027,50
990862576,32,132,0.2424,1136,0.0026,45
990916609,34,133,0.2556,1143,0.0022,50
990970609,30,133,0.2256,1142,0.0018,45
991027609,36,137,0.2628,1137,0.0016,50
991081609,36,138,0.2609,1139,0.0016,45
991136606,34,135,0.2519,1142,-0.0006,40
991190609,35,137,0.2555,1142,-0.0005,40
991244609,35,137,0.2555,1140,-0.0006,45
991298609,36,137,0.2628,1143,-0.0008,50
991355382,36,136,0.2647,1147,-0.0007,50
991409591,38,137,0.2774,1141,-0.0008,50
991463592,40,138,0.2899,1141,-0.001,50
991517718,37,138,0.2681,1148,-0.001,50
991571609,37,140,0.2643,1143,-0.001,50
991628606,37,140,0.2643,1141,-0.001,50
991682609,36,138,0.2609,1145,-0.001,50
991736609,36,139,0.259,1145,-0.001,45
991790610,35,136,0.2574,1143,-0.001,45
