ms,red,ir,ratio,adcAvg,ratioSlope,AI
680817584,31,87,0.3563,1116,-0.0061,45
680871583,57,87,0.6552,1111,-0.0064,45
680926596,56,86,0.6512,1110,-0.0062,45
680982404,57,88,0.6477,1117,-0.0059,45
681037585,58,86,0.6744,1108,-0.0059,45
681091615,55,85,0.6471,1106,-0.0057,45
681146615,58,88,0.6591,1114,-0.0056,45
681200615,60,85,0.7059,1113,-0.0059,45
681254615,58,88,0.6591,1110,-0.0059,45
681310615,59,87,0.6782,1112,-0.0058,50
681364615,58,87,0.6667,1117,-0.0057,50
681418615,60,87,0.6897,1114,-0.0057,45
681472615,56,87,0.6437,1111,-0.0057,50
681526615,54,86,0.6279,1114,-0.0057,45
681583420,57,88,0.6477,1119,-0.0058,50
681638382,56,86,0.6512,1113,-0.0059,50
681692598,57,87,0.6552,1111,-0.0043,55
681746596,59,88,0.6705,1115,-0.0042,55
681800629,56,87,0.6437,1117,-0.0042,55
681854585,59,89,0.6629,1111,-0.0042,55
681911585,56,88,0.6364,1114,-0.001,55
681965585,54,87,0.6207,1117,-0.0014,55
682019585,61,89,0.6854,1113,-0.001,55
682073585,56,87,0.6437,1111,-0.0009,55
682127585,58,88,0.6591,1115,-0.0007,55
682181583,54,86,0.6279,1119,-0.0005,55
682237585,59,90,0.6556,1114,-0.0005,55
682291459,56,88,0.6364,1113,0.0001,55
682346583,56,90,0.6222,1120,0.0004,50
682400585,55,88,0.625,1118,0.0007,55
682454585,54,86,0.6279,1112,0.0008,55
682510398,57,89,0.6404,1114,0.0009,60
682565334,56,88,0.6364,1116,0.0009,55
682619585,57,91,0.6264,1116,0.0009,55
682673585,57,90,0.6333,1111,0.0009,55
682727636,58,93,0.6237,1116,0.0008,50
682781585,58,90,0.6444,1118,0.0007,50
682838583,57,90,0.6333,1113,0.0005,50
682892585,56,90,0.6222,1114,0.0003,45
682946585,59,92,0.6413,1120,0.0001,45
683001585,58,92,0.6304,1117,0,45
683055585,58,92,0.6304,1115,0.0001,50
683112388,56,92,0.6087,1121,-0.001,45
683166585,55,91,0.6044,1120,-0.0004,45
683221594,59,93,0.6344,1113,-0.0001,45
683275596,53,87,0.6092,1114,0.0001,45
683330677,57,92,0.6196,1119,0.0005,50
