Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "MAX86141_HEG_MINI.brd" as of: 5/19/2020 8:26 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,5.597,0.578,90
C2,Top,5.642,0.578,90
C3,Top,5.767,0.536,0
C4,Top,5.848,0.541,90
C5,Top,5.893,0.541,90
C6,Top,5.973,0.502,0
C7,Top,5.834,0.718,180
C8,Top,5.936,0.719,0
D1,Top,6.241,0.593,0
D2,Top,6.241,0.768,0
LED1,Top,7.424,0.717,90
LED2,Top,7.424,0.645,90
R1,Top,5.687,0.578,90
U1,Top,5.972,0.625,90
U3,Top,5.817,0.641,0
U4,Top,5.661,0.695,0
