us,red,ir,ratio,adcAvg,ratioSlope,AI
231068567,223,309,0.3608,1217,NaN,0
231122568,221,315,0.7016,1225,NaN,5
231176567,220,315,0.6984,1234,NaN,5
231233568,223,305,0.7311,1220,NaN,10
231287568,225,314,0.7166,1222,NaN,10
231342568,224,319,0.7022,1235,NaN,10
231396568,226,315,0.7175,1234,NaN,15
231450568,224,309,0.7249,1224,NaN,20
231507369,224,319,0.7022,1229,NaN,20
231561568,224,314,0.7134,1233,NaN,25
231615574,222,303,0.7327,1223,NaN,30
231669568,224,313,0.7157,1219,NaN,30
231724368,223,316,0.7057,1231,NaN,30
231778578,224,313,0.7157,1234,NaN,35
231835568,218,296,0.7365,1214,NaN,40
231889568,218,317,0.6877,1221,NaN,40
231944568,223,322,0.6925,1239,NaN,45
231998568,221,307,0.7199,1226,NaN,50
232052568,224,311,0.7203,1215,NaN,55
232109369,219,327,0.6697,1238,0.0007,55
232163568,224,313,0.7157,1235,0.0005,55
232218568,224,308,0.7273,1211,0.0005,60
232272568,224,307,0.7296,1220,0.0006,65
232326568,224,321,0.6978,1237,0.0004,65
232380568,225,312,0.7212,1234,0.0005,65
232437399,218,296,0.7365,1211,0.0007,65
232491578,225,321,0.7009,1224,0.0005,65
232546578,226,316,0.7152,1238,0.0005,65
232600572,223,300,0.7433,1211,0.0009,65
232654568,225,315,0.7143,1220,0.0009,65
232712369,222,327,0.6789,1244,0.0002,60
232766567,225,305,0.7377,1224,-0.0002,60
232821568,220,315,0.6984,1220,-0.0001,60
232875568,228,329,0.693,1244,0.0002,55
232929568,224,317,0.7066,1244,0.0005,55
232984568,224,307,0.7296,1220,0.0001,55
233040567,225,329,0.6839,1237,0.0002,55
233094567,226,323,0.6997,1246,0.0003,55
233148566,227,323,0.7028,1231,0.0004,55
233203566,224,312,0.7179,1217,0.0003,55
233257574,223,319,0.6991,1232,0.0003,55
233314374,224,310,0.7226,1225,0.0003,55
233368572,223,307,0.7264,1216,0.0003,55
233423564,217,321,0.676,1229,0.0002,55
233477564,225,319,0.7053,1242,0.0001,55
233531564,220,308,0.7143,1230,-0.0001,55
233586564,222,310,0.7161,1217,0.0001,55
233642564,226,335,0.6746,1242,-0.0003,55
233697564,224,311,0.7203,1235,-0.0006,55
233751564,225,309,0.7282,1219,-0.0004,60
233805564,224,323,0.6935,1227,-0.0002,60
233859578,227,325,0.6985,1243,0.0004,60
233914330,226,314,0.7197,1238,0.0001,65
233970574,226,314,0.7197,1219,-0.0002,65
234025574,223,332,0.6717,1246,0.0001,65
234079566,225,312,0.7212,1241,0.0002,65
234133566,223,302,0.7384,1211,-0.0002,65
234188566,222,315,0.7048,1220,-0.0002,60
234244566,220,323,0.6811,1242,-0.0001,60
234299568,221,301,0.7342,1222,-0.0001,60
234353568,219,310,0.7065,1213,-0.0002,60
234408568,226,331,0.6828,1240,-0.0002,55
234462568,221,314,0.7038,1242,-0.0002,55
234516568,223,304,0.7336,1223,0,55
234572568,224,322,0.6957,1226,-0.0001,55
234627226,225,325,0.6923,1245,-0.0002,50
234681576,226,310,0.729,1232,-0.0001,50
234735576,224,312,0.7179,1218,0.0003,50
234790568,221,324,0.6821,1237,-0.0001,45
234846568,225,316,0.712,1235,-0.0003,45
234900568,224,310,0.7226,1223,0.0001,50
234954568,222,314,0.707,1212,0,50
235008568,224,327,0.685,1240,0.0004,45
235062568,205,304,0.6743,1242,0.0009,40
235116564,223,306,0.7288,1222,0.0004,40
235172564,218,322,0.677,1228,0.0007,40
235226564,224,325,0.6892,1245,0.0011,45
235280566,222,314,0.707,1238,0.0011,45
235334566,222,310,0.7161,1220,0.0009,50
235388566,223,322,0.6925,1226,0.001,50
235445238,226,331,0.6828,1249,0.001,50
235499574,223,308,0.724,1227,0.0011,45
235554566,225,319,0.7053,1224,0.0011,45
235608566,225,328,0.686,1244,0.0009,45
235664566,228,318,0.717,1243,0.001,45
235718566,224,315,0.7111,1223,0.0011,45
235774568,229,331,0.6918,1231,0.0008,45
235828566,226,324,0.6975,1250,0.0006,45
235882568,223,311,0.717,1227,0.001,45
235937568,223,319,0.6991,1223,0.0008,45
235991568,221,330,0.6697,1242,0.0001,40
236045568,224,322,0.6957,1248,0.0003,40
236101568,221,310,0.7129,1222,-0.0001,45
236156535,223,327,0.682,1235,-0.0002,45
236211253,228,331,0.6888,1250,0.0002,45
236266574,226,309,0.7314,1226,-0.0002,45
236321566,225,323,0.6966,1226,-0.0003,45
236377568,224,333,0.6727,1252,-0.0001,40
236431568,225,311,0.7235,1237,-0.0001,40
236485568,223,314,0.7102,1217,-0.0002,40
236539568,224,330,0.6788,1237,-0.0002,40
236593568,227,328,0.6921,1245,-0.0002,45
236647566,228,319,0.7147,1241,-0.0002,45
236703566,55,148,0.3716,1222,-0.0014,45
236757566,226,334,0.6766,1242,-0.0016,50
